"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","46","17","9","14","6","1","1","17","178.0","10.5","93.1%"
"2","Baltimore Ravens (BAL)","60","18","13","16","1","1","1","17","174.0","10.2","87.4%"
"3","Buffalo Bills (BUF)","54","18","12","12","2","0","1","17","159.0","9.4","62.7%"
"4","New York Jets (NYJ)","48","17","10","13","3","3","1","17","154.0","9.1","82.8%"
"5","Cleveland Browns (CLE)","49","18","10","12","3","0","0","17","153.0","9.0","94.2%"
"6","Miami Dolphins (MIA)","56","15","12","14","4","0","0","17","152.0","8.9","69.2%"
"7","Las Vegas Raiders (LV)","46","13","9","13","5","1","0","17","146.0","8.6","22.3%"
"8","Pittsburgh Steelers (PIT)","47","16","11","18","2","1","0","17","143.0","8.4","76.5%"
"9","New Orleans Saints (NO)","34","18","11","9","2","0","1","17","143.0","8.4","63.8%"
"10","San Francisco 49ers (SF)","48","22","6","10","1","1","0","17","141.0","8.3","98.1%"
"11","Indianapolis Colts (IND)","51","15","9","16","4","1","1","17","139.0","8.2","24.8%"
"12","Kansas City Chiefs (KC)","57","8","9","14","2","0","0","17","134.0","7.9","77.1%"
"13","Tampa Bay Buccaneers (TB)","48","13","12","18","1","1","0","17","133.0","7.8","20.7%"
"14","New York Giants (NYG)","34","18","13","15","3","0","1","17","131.0","7.7","3.0%"
"15","Houston Texans (HOU)","46","14","10","13","1","0","2","17","131.0","7.7","30.1%"
"16","Minnesota Vikings (MIN)","43","11","11","21","2","0","0","17","124.0","7.3","11.5%"
"17","Jacksonville Jaguars (JAC)","40","16","11","11","2","0","0","17","120.0","7.1","47.6%"
"18","Chicago Bears (CHI)","30","22","6","10","2","0","0","17","120.0","7.1","31.5%"
"19","Cincinnati Bengals (CIN)","44","17","9","11","1","0","1","17","118.0","6.9","49.0%"
"20","Denver Broncos (DEN)","42","11","15","17","1","1","1","17","118.0","6.9","34.5%"
"21","Green Bay Packers (GB)","45","7","11","10","2","0","0","17","115.0","6.8","26.0%"
"22","Los Angeles Chargers (LAC)","48","9","12","13","0","0","1","17","112.0","6.6","16.1%"
"23","New England Patriots (NE)","36","10","8","13","1","1","1","17","109.0","6.4","13.3%"
"24","Seattle Seahawks (SEA)","47","11","8","12","3","0","0","17","109.0","6.4","26.2%"
"25","Detroit Lions (DET)","41","16","6","11","1","1","0","17","107.0","6.3","43.3%"
"26","Tennessee Titans (TEN)","45","6","8","11","1","0","0","17","102.0","6.0","3.5%"
"27","Philadelphia Eagles (PHI)","43","9","8","13","3","1","0","17","101.0","5.9","50.9%"
"28","Atlanta Falcons (ATL)","42","8","8","18","1","1","0","17","95.0","5.6","16.6%"
"29","Los Angeles Rams (LAR)","41","10","5","7","0","2","0","17","83.0","4.9","21.1%"
"30","Carolina Panthers (CAR)","27","8","3","5","2","0","1","17","71.0","4.2","2.9%"
"31","Arizona Cardinals (ARI)","33","11","6","4","1","0","0","17","65.0","3.8","0.8%"
"32","Washington Commanders (WAS)","39","8","10","10","0","0","0","17","64.0","3.8","8.1%"
""
""
