"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","54","19","11","15","7","0","1","17","186.0","10.9","13.3%"
"2","Dallas Cowboys (DAL)","54","16","17","21","3","0","0","17","170.0","10.0","93.1%"
"3","San Francisco 49ers (SF)","44","20","10","13","3","0","0","17","163.0","9.6","98.1%"
"4","Buffalo Bills (BUF)","40","17","10","10","1","2","2","17","152.0","8.9","62.7%"
"5","Philadelphia Eagles (PHI)","70","17","10","15","2","0","0","17","151.0","8.9","50.9%"
"6","Jacksonville Jaguars (JAC)","35","14","13","16","4","0","0","17","139.0","8.2","47.6%"
"7","Baltimore Ravens (BAL)","48","14","11","14","0","0","1","17","134.0","7.9","87.4%"
"8","Kansas City Chiefs (KC)","55","11","9","11","2","1","0","17","121.0","7.1","77.1%"
"9","Carolina Panthers (CAR)","35","10","7","7","3","0","0","17","118.0","6.9","2.9%"
"10","New York Jets (NYJ)","45","12","4","9","0","2","1","17","118.0","6.9","82.8%"
"11","Washington Commanders (WAS)","43","9","9","7","3","1","0","17","117.0","6.9","8.1%"
"12","Green Bay Packers (GB)","34","17","7","11","2","1","1","17","117.0","6.9","26.0%"
"13","Seattle Seahawks (SEA)","45","14","11","15","1","0","1","17","117.0","6.9","26.2%"
"14","Houston Texans (HOU)","39","16","11","9","1","1","0","17","116.0","6.8","30.1%"
"15","Indianapolis Colts (IND)","44","10","11","13","2","0","1","17","116.0","6.8","24.8%"
"16","New Orleans Saints (NO)","48","7","7","11","1","0","0","17","115.0","6.8","63.8%"
"17","Cincinnati Bengals (CIN)","30","13","11","13","1","0","0","17","115.0","6.8","49.0%"
"18","New York Giants (NYG)","41","6","13","18","2","0","0","17","107.0","6.3","3.0%"
"19","Pittsburgh Steelers (PIT)","40","20","3","9","1","0","0","17","107.0","6.3","76.5%"
"20","Miami Dolphins (MIA)","40","8","6","14","2","1","1","17","107.0","6.3","69.2%"
"21","Cleveland Browns (CLE)","34","11","9","10","3","0","1","17","107.0","6.3","94.2%"
"22","Minnesota Vikings (MIN)","38","15","10","10","1","0","1","17","106.0","6.2","11.5%"
"23","Los Angeles Chargers (LAC)","40","14","10","13","1","1","0","17","106.0","6.2","16.1%"
"24","Los Angeles Rams (LAR)","38","16","6","9","1","0","0","17","104.0","6.1","21.1%"
"25","Tennessee Titans (TEN)","39","14","6","11","1","0","0","17","104.0","6.1","3.5%"
"26","Tampa Bay Buccaneers (TB)","44","10","10","14","1","0","0","17","103.0","6.1","20.7%"
"27","Arizona Cardinals (ARI)","36","11","9","11","5","0","0","17","103.0","6.1","0.8%"
"28","Denver Broncos (DEN)","36","15","8","15","0","1","0","17","102.0","6.0","34.5%"
"29","Detroit Lions (DET)","39","12","10","12","1","1","1","17","98.0","5.8","43.3%"
"30","Atlanta Falcons (ATL)","21","10","7","8","2","1","2","17","89.0","5.2","16.6%"
"31","Las Vegas Raiders (LV)","27","6","7","10","3","0","0","17","77.0","4.5","22.3%"
"32","Chicago Bears (CHI)","20","14","9","10","0","0","0","17","62.0","3.6","31.5%"
""
""
