"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","47","25","11","14","5","1","2","16","232.0","14.5","13.3%"
"2","Pittsburgh Steelers (PIT)","54","20","18","19","3","0","1","16","181.0","11.3","76.5%"
"3","San Francisco 49ers (SF)","48","12","15","21","5","0","0","16","163.0","10.2","98.1%"
"4","Baltimore Ravens (BAL)","37","13","12","15","6","0","0","16","153.0","9.6","87.4%"
"5","Kansas City Chiefs (KC)","45","16","7","12","3","0","1","16","148.0","9.3","77.1%"
"6","Los Angeles Rams (LAR)","50","13","11","13","4","1","0","16","146.0","9.1","21.1%"
"7","Minnesota Vikings (MIN)","48","17","14","18","2","1","0","16","144.0","9.0","11.5%"
"8","New Orleans Saints (NO)","51","13","10","10","3","1","1","16","143.0","8.9","63.8%"
"9","Buffalo Bills (BUF)","44","14","9","15","0","1","1","16","137.0","8.6","62.7%"
"10","Tampa Bay Buccaneers (TB)","47","12","16","20","6","0","0","16","134.0","8.4","20.7%"
"11","Tennessee Titans (TEN)","43","14","9","10","3","1","1","16","133.0","8.3","3.5%"
"12","New York Jets (NYJ)","35","12","9","8","5","2","1","16","133.0","8.3","82.8%"
"13","Indianapolis Colts (IND)","41","15","8","13","1","2","2","16","127.0","7.9","24.8%"
"14","Seattle Seahawks (SEA)","28","16","16","18","3","0","0","16","124.0","7.8","26.2%"
"15","Philadelphia Eagles (PHI)","43","11","9","15","3","0","0","16","113.0","7.1","50.9%"
"16","Green Bay Packers (GB)","41","17","7","11","0","0","0","16","110.0","6.9","26.0%"
"17","Jacksonville Jaguars (JAC)","47","10","9","13","2","0","0","16","103.0","6.4","47.6%"
"18","Chicago Bears (CHI)","32","10","9","12","1","1","1","16","102.0","6.4","31.5%"
"19","Denver Broncos (DEN)","40","10","6","8","1","0","0","16","101.0","6.3","34.5%"
"20","Dallas Cowboys (DAL)","39","7","10","13","1","0","0","16","99.0","6.2","93.1%"
"21","Atlanta Falcons (ATL)","28","12","8","13","2","0","1","16","98.0","6.1","16.6%"
"22","Carolina Panthers (CAR)","53","14","7","8","1","2","0","16","95.0","5.9","2.9%"
"23","Houston Texans (HOU)","31","12","10","14","2","0","0","16","94.0","5.9","30.1%"
"24","Washington Commanders (WAS)","46","13","9","15","0","0","1","16","94.0","5.9","8.1%"
"25","Cleveland Browns (CLE)","38","14","6","12","1","0","0","16","91.0","5.7","94.2%"
"26","New York Giants (NYG)","36","10","6","8","2","1","0","16","86.0","5.4","3.0%"
"27","Los Angeles Chargers (LAC)","30","11","3","5","0","0","1","16","81.0","5.1","16.1%"
"28","Detroit Lions (DET)","28","7","11","13","1","0","2","16","78.0","4.9","43.3%"
"29","Las Vegas Raiders (LV)","32","9","6","8","2","0","0","16","70.0","4.4","22.3%"
"30","Arizona Cardinals (ARI)","40","7","10","19","0","0","0","16","68.0","4.3","0.8%"
"31","Cincinnati Bengals (CIN)","31","11","5","9","0","1","1","16","67.0","4.2","49.0%"
"32","Miami Dolphins (MIA)","23","13","3","9","1","1","1","16","50.0","3.1","69.2%"
""
""
